Employee_ID,Department,Attrition_Probability,Predicted_Attrition_Flag,Forecasted_KPI_Score,Predicted_Top_Performer,Attendance_Status,Critical_Flight_Risk,Performance_Level,Flight_Risk_Level,Risk_Segment,Satisfaction_Score,Work_Life_Balance,Compa_Ratio,Total_Overtime_Hours,Training_Hours_Completed,Manager_Rating
EMP01322,Sales,0.934,1,58.6,0,Anomaly,1,Low,High,"High Risk, Low Performer",3,3,0.4560638845955693,33,1,1
EMP01219,Sales,0.932,1,83.5,1,Anomaly,1,Medium,High,"High Risk, Medium Performer",1,1,1.0649665121071612,21,5,3
EMP01705,Technology,0.931,1,68.8,0,Anomaly,1,Low,High,"High Risk, Low Performer",4,2,0.4945620133764306,14,7,2
EMP00028,Technology,0.927,1,71.1,0,Anomaly,1,Medium,High,"High Risk, Medium Performer",3,2,0.7407046004350389,17,4,1
EMP01883,Operations,0.924,1,111.7,1,Anomaly,1,High,High,"High Risk, High Performer",1,3,1.293489351540282,33,22,5
EMP01444,Technology,0.916,1,79.1,0,Anomaly,1,Medium,High,"High Risk, Medium Performer",3,3,0.7172551889573296,13,8,2
EMP00048,Finance,0.879,1,104.4,1,Anomaly,1,High,High,"High Risk, High Performer",1,4,0.720554105018857,33,24,5
EMP00490,Technology,0.863,1,104.4,1,Anomaly,1,High,High,"High Risk, High Performer",2,2,0.8078408651989185,27,23,5
EMP00394,Operations,0.856,1,77.0,0,Anomaly,1,Medium,High,"High Risk, Medium Performer",4,2,0.5573996483077525,28,11,2
EMP01006,Technology,0.84,1,58.6,0,Anomaly,1,Low,High,"High Risk, Low Performer",5,3,0.5044418694476632,37,6,2
EMP01337,Sales,0.836,1,119.4,1,Anomaly,1,High,High,"High Risk, High Performer",2,1,0.9909737248840804,18,34,5
EMP00383,Technology,0.834,1,68.8,0,Anomaly,1,Low,High,"High Risk, Low Performer",4,3,0.4524404870809701,35,7,2
EMP00762,Operations,0.815,1,66.3,0,Anomaly,1,Low,High,"High Risk, Low Performer",3,3,0.861689425352235,27,0,1
EMP01929,Sales,0.789,1,86.4,1,Anomaly,1,High,High,"High Risk, High Performer",1,1,0.86887171561051,17,14,4
EMP01436,Technology,0.784,1,58.6,0,Anomaly,1,Low,High,"High Risk, Low Performer",3,1,0.5070439714581936,11,5,2
EMP01661,Marketing,0.78,1,119.9,1,Anomaly,1,High,High,"High Risk, High Performer",2,3,1.1519717261904765,14,28,5
EMP01132,Operations,0.692,1,112.5,1,Anomaly,1,High,Medium,"Medium Risk, High Performer",4,3,0.6419686082104943,29,33,5
EMP01456,Technology,0.677,1,110.9,1,Anomaly,1,High,Medium,"Medium Risk, High Performer",3,4,0.5467971783456324,27,35,5
EMP01260,HR,0.635,1,103.5,1,Anomaly,1,High,Medium,"Medium Risk, High Performer",2,1,0.9936583473967778,14,22,5
EMP00717,Technology,0.205,0,118.6,1,Anomaly,1,High,Low,"Low Risk, High Performer",1,3,1.2518651785895794,35,26,5
EMP00564,Technology,0.997,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,4,0.5515236527006973,23,5,2
EMP01091,Sales,0.997,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,3,0.5576816074188563,16,3,1
EMP00278,Finance,0.996,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,4,0.5603216047080277,27,12,2
EMP00402,Operations,0.996,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,1,0.5511799057812127,26,8,1
EMP00672,Marketing,0.996,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.5833540013227513,25,0,1
EMP00769,Operations,0.996,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",1,3,0.4532488114104596,25,7,1
EMP01303,Operations,0.996,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.5913748561752382,24,2,1
EMP00404,Marketing,0.995,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.4351438492063492,29,0,1
EMP00694,Technology,0.995,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,5,0.4474294078185034,22,13,2
EMP00718,Operations,0.995,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.4906975229576883,20,8,1
EMP00748,Technology,0.995,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.5605700229716818,22,9,1
EMP00905,Finance,0.995,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",1,2,0.5157383231795765,22,39,5
EMP00958,Operations,0.995,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,4,0.6352821136269892,21,8,2
EMP01018,Technology,0.995,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.5872212396576609,27,6,2
EMP01299,Operations,0.995,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",1,1,0.4428608644682283,18,2,1
EMP01489,Technology,0.995,1,79.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,2,0.7544977739830456,22,7,2
EMP01566,Finance,0.995,1,84.9,1,Normal,0,Medium,High,"High Risk, Medium Performer",1,1,0.4999378341414895,25,22,4
EMP01571,HR,0.995,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.4824477730841395,21,9,1
EMP01796,Technology,0.995,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",2,4,0.5141997519871522,23,3,1
EMP00330,Operations,0.994,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",2,1,0.4345895838308404,22,39,5
EMP00482,Technology,0.994,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,1,0.6111382163403875,28,9,2
EMP00948,Operations,0.994,1,93.0,1,Normal,0,High,High,"High Risk, High Performer",2,2,0.5935023771790808,22,22,4
EMP01009,Finance,0.994,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",1,3,0.4872974429110199,20,38,5
EMP01082,Finance,0.994,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,1,0.5268142069708649,17,3,1
EMP01166,Technology,0.994,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,2,0.4653493525238356,16,12,2
EMP01413,HR,0.994,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.5097430844540414,20,7,1
EMP01469,Operations,0.994,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,4,0.6512385211558084,18,0,1
EMP01790,Marketing,0.994,1,117.7,1,Normal,0,High,High,"High Risk, High Performer",1,1,0.595537781084656,26,39,5
EMP00047,Technology,0.993,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.5562806204386981,15,14,3
EMP00229,Finance,0.993,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.5935803390111484,27,5,1
EMP00372,Marketing,0.993,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,4,0.4439794146825397,18,13,2
EMP00434,Marketing,0.993,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.5454282407407407,18,11,2
EMP00568,Marketing,0.993,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.5112743882275133,22,14,3
EMP01426,Operations,0.993,1,84.9,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.4776935935566507,23,20,4
EMP01556,Technology,0.993,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,1,0.6189648512939359,21,0,1
EMP00602,Sales,0.992,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,3,0.4583410613086038,24,14,2
EMP01926,Technology,0.992,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,4,0.5147079750360838,32,8,2
EMP00030,Technology,0.991,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",1,3,0.4847329796100912,15,9,2
EMP00967,Operations,0.991,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",5,3,0.5016173501508803,21,10,2
EMP01179,Operations,0.991,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",1,3,0.647906128563055,25,28,4
EMP00387,Operations,0.99,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",1,4,0.4410915485313592,15,26,4
EMP00549,Technology,0.99,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,1,0.4328027484702486,19,12,3
EMP00839,Finance,0.99,1,84.9,1,Normal,0,Medium,High,"High Risk, Medium Performer",1,3,0.4757138712752289,19,22,4
EMP00940,Technology,0.99,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,3,0.4747209855461365,22,14,3
EMP01022,Technology,0.99,1,84.9,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,2,0.4530910125836027,21,17,3
EMP01343,Sales,0.99,1,79.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.7092632663575477,17,12,2
EMP00337,Sales,0.989,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,3,0.9096857290056672,22,1,2
EMP00444,Finance,0.989,1,79.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,2,0.7411517261386713,21,9,2
EMP00818,Operations,0.989,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.5362112758613203,17,28,5
EMP01152,Technology,0.989,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.6115854526234473,19,4,2
EMP01972,Finance,0.989,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.5597621119814331,18,23,4
EMP01707,Technology,0.988,1,112.5,1,Normal,0,High,High,"High Risk, High Performer",2,1,0.5759285235103982,25,33,5
EMP01862,Sales,0.988,1,93.0,1,Normal,0,High,High,"High Risk, High Performer",1,4,0.5842555383822772,24,19,4
EMP00091,Operations,0.987,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.7006056922041551,23,7,2
EMP00336,Marketing,0.987,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,3,0.7709160052910053,25,0,1
EMP00610,Sales,0.987,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,4,0.8523235445646574,24,1,2
EMP01281,Sales,0.987,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,5,0.7148583204533745,22,0,1
EMP01321,Marketing,0.987,1,112.5,1,Normal,0,High,High,"High Risk, High Performer",1,4,0.613146908068783,23,34,5
EMP01664,Operations,0.987,1,84.9,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,3,0.5797060547511017,27,17,3
EMP00242,Finance,0.986,1,84.9,1,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.5787952256620664,25,20,4
EMP00761,Operations,0.986,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.6732518507261793,21,5,1
EMP01114,Operations,0.986,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.5504960597442633,17,12,2
EMP00438,Operations,0.985,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.450567700757658,33,28,5
EMP00817,Marketing,0.985,1,84.9,1,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.529296875,24,20,4
EMP01272,Operations,0.985,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.7708681588259557,24,1,1
EMP00057,Finance,0.983,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.7316403497865639,24,1,1
EMP00231,Finance,0.983,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,4,0.4182104521530109,22,24,4
EMP00663,HR,0.983,1,112.5,1,Normal,0,High,High,"High Risk, High Performer",1,1,0.6388402637288917,24,31,5
EMP00783,Operations,0.983,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,2,0.4834140199292274,23,28,4
EMP00064,Technology,0.982,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",1,1,0.5372527494866948,18,35,5
EMP00175,Sales,0.982,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,1,0.7148995363214837,19,2,2
EMP01443,Technology,0.982,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.662905816104572,30,7,2
EMP01498,Operations,0.982,1,83.5,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,5,0.9928576080585284,19,4,2
EMP00226,Operations,0.981,1,84.9,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.4424375312072596,17,17,3
EMP00235,HR,0.981,1,79.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",3,2,0.760316977809457,20,11,2
EMP01030,Technology,0.981,1,117.7,1,Normal,0,High,High,"High Risk, High Performer",1,3,0.58105141184363,20,37,5
EMP01696,Technology,0.981,1,102.4,1,Normal,0,High,High,"High Risk, High Performer",1,5,0.4358622512248175,26,31,5
EMP01752,Sales,0.981,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.639629057187017,25,0,2
EMP00403,Marketing,0.98,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.5425450562169312,24,36,5
EMP00529,Operations,0.98,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.4982198293641317,23,2,1
EMP00617,HR,0.98,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",1,2,0.4684961373570507,26,28,4
EMP00716,Marketing,0.98,1,112.5,1,Normal,0,High,High,"High Risk, High Performer",1,2,0.5972015542328042,18,35,5
EMP01157,Technology,0.98,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.413530930454758,20,25,4
EMP01283,Technology,0.98,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",1,3,0.4207172043666524,28,36,5
EMP01829,Marketing,0.98,1,84.9,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,2,0.5034722222222222,27,18,3
EMP01290,Finance,0.979,1,112.5,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.5934042024120353,24,31,5
EMP01634,Technology,0.979,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.5297513772844626,25,29,5
EMP00182,Finance,0.978,1,86.4,1,Normal,0,High,High,"High Risk, High Performer",1,2,0.8839156202080484,29,16,4
EMP00276,Operations,0.978,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",1,3,0.535918198988342,23,27,5
EMP00984,Finance,0.978,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,2,0.4166045008081561,22,28,4
EMP01055,Finance,0.978,1,112.5,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.6232748974263335,26,31,5
EMP01228,Sales,0.978,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,3,0.461957753735188,18,14,3
EMP01963,Operations,0.978,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",3,4,0.639244078761696,17,8,2
EMP00244,Technology,0.977,1,102.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.5127665629891647,18,30,5
EMP01570,Sales,0.977,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,4,0.6529108706852138,22,14,2
EMP01998,Technology,0.977,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.9015876888048628,17,2,2
EMP00129,Operations,0.976,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.4905455571716996,27,8,2
EMP00312,Operations,0.976,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,2,0.5710874237457395,24,14,3
EMP00915,Technology,0.976,1,71.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.6881645016364782,27,3,2
EMP00539,Marketing,0.975,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.4579096395502645,19,38,5
EMP00631,Operations,0.975,1,71.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,2,0.8692117317586784,21,5,2
EMP00765,Technology,0.975,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,2,0.5911345571344352,24,27,5
EMP00963,Operations,0.975,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,2,0.4787139352625751,21,6,1
EMP00987,Operations,0.975,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.6510322818748236,15,5,1
EMP01223,Sales,0.975,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",4,2,0.5504173106646059,20,6,2
EMP01677,Finance,0.975,1,84.9,1,Normal,0,Medium,High,"High Risk, Medium Performer",1,4,0.4335343362758506,17,22,5
EMP00078,Technology,0.974,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,5,0.9694964526031185,24,2,2
EMP00494,Technology,0.974,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.433209326909394,29,34,5
EMP00810,Operations,0.974,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,3,0.9624970149577752,27,1,2
EMP00814,HR,0.974,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",4,2,0.6282638546765758,22,8,2
EMP01410,Marketing,0.974,1,71.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,2,0.6778583829365079,28,3,1
EMP00488,Operations,0.973,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,5,0.8227210559451187,15,0,1
EMP01130,Sales,0.973,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.5829057187017002,22,11,3
EMP01195,Operations,0.973,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",1,1,0.6789722770987561,18,9,2
EMP01606,Sales,0.973,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",2,2,0.4230293663060278,26,34,5
EMP00722,Sales,0.972,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,1.0453477588871716,22,2,2
EMP00828,Operations,0.972,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",3,1,0.5077828191824241,24,11,2
EMP00588,Operations,0.971,1,84.9,1,Normal,0,Medium,High,"High Risk, Medium Performer",1,2,0.5059375203525607,14,19,4
EMP01159,Operations,0.97,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",4,2,0.5211015348544384,14,11,2
EMP00633,Operations,0.969,1,102.4,1,Normal,0,High,High,"High Risk, High Performer",2,4,0.4802010290254651,20,33,5
EMP00645,Technology,0.968,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,2,0.5490943465268037,14,11,3
EMP00844,HR,0.968,1,71.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,2,0.6790599679248646,23,6,2
EMP00019,Sales,0.967,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,5,1.0141164348274083,17,0,2
EMP00657,Technology,0.967,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,4,0.4448984570348234,24,13,3
EMP01542,HR,0.967,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.4754143038332931,27,6,2
EMP01332,Technology,0.966,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.436848203939745,20,5,1
EMP01532,Technology,0.966,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.5342745624199549,21,28,5
EMP01078,Sales,0.965,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",4,2,0.4241112828438949,20,14,2
EMP01706,Sales,0.965,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.4713137557959814,27,14,3
EMP00638,Sales,0.963,1,97.4,1,Normal,0,High,High,"High Risk, High Performer",2,3,0.4549201442555384,17,23,4
EMP01429,HR,0.963,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,2,0.4244819236695632,18,2,1
EMP01480,Operations,0.963,1,102.4,1,Normal,0,High,High,"High Risk, High Performer",2,4,0.5203959794194907,26,32,5
EMP01743,Technology,0.963,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,1,0.5548575959016894,25,6,1
EMP01307,Finance,0.962,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",4,2,0.5694496249326536,20,2,1
EMP01904,Finance,0.962,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",3,2,0.4860126818351361,23,12,1
EMP01243,Operations,0.959,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",4,1,0.5611336647634761,20,0,1
EMP00189,HR,0.958,1,79.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,3,0.7282942526807895,26,9,2
EMP01199,Operations,0.958,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,1,0.4655797494735471,21,3,1
EMP00106,Operations,0.957,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.4831100883572498,21,2,1
EMP00290,Marketing,0.957,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,2,0.6697978670634921,19,0,1
EMP01511,Technology,0.956,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",5,3,0.4769368380394788,18,9,2
EMP00108,Sales,0.954,1,79.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",1,3,0.8654095826893354,19,9,2
EMP01482,HR,0.953,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,2,0.6110627771197367,16,4,1
EMP00497,Finance,0.952,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,1,0.7776638070371752,19,2,2
EMP00611,Sales,0.952,1,110.9,1,Normal,0,High,High,"High Risk, High Performer",2,2,0.5409582689335394,21,37,5
EMP01548,Finance,0.952,1,71.1,0,Normal,0,Medium,High,"High Risk, Medium Performer",3,3,0.8693791702930084,21,3,2
EMP00881,Finance,0.951,1,104.4,1,Normal,0,High,High,"High Risk, High Performer",1,3,0.8889924986530731,24,26,5
EMP01574,Operations,0.951,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",5,4,0.5479669148774504,24,11,2
EMP01717,Finance,0.951,1,86.4,1,Normal,0,High,High,"High Risk, High Performer",2,2,0.8187554395126196,20,15,4
EMP00609,Sales,0.95,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.4877691911385883,21,1,1
EMP00704,Sales,0.95,1,92.4,1,Normal,0,High,High,"High Risk, High Performer",1,1,1.2853065430190624,18,3,4
EMP00961,Technology,0.95,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,3,0.6342013783009087,29,13,2
EMP00138,HR,0.948,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.6107168687959246,26,2,2
EMP00128,Operations,0.947,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",5,3,0.4778021405466426,18,5,1
EMP01136,Operations,0.947,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",5,5,0.6070598962290775,20,3,1
EMP01500,Finance,0.947,1,119.4,1,Normal,0,High,High,"High Risk, High Performer",2,4,0.9644411289319904,16,39,5
EMP01575,Finance,0.947,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.92096647188031,22,0,2
EMP00849,Finance,0.945,1,119.9,1,Normal,0,High,High,"High Risk, High Performer",1,3,1.137997844916905,33,29,5
EMP00171,Sales,0.944,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,2,0.5255950540958269,19,3,1
EMP00061,Sales,0.943,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",5,4,0.4249871200412158,31,14,2
EMP00703,Sales,0.943,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.5269036579082947,25,4,1
EMP01261,Technology,0.943,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",2,3,0.8609908316561973,24,1,2
EMP01984,Operations,0.943,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,2,0.5645746043462215,19,2,1
EMP00273,Technology,0.942,1,68.8,0,Normal,0,Low,High,"High Risk, Low Performer",3,1,0.4503059502754569,22,8,2
EMP01388,Marketing,0.94,1,119.9,1,Normal,0,High,High,"High Risk, High Performer",1,1,1.431650958994709,21,29,5
EMP01460,Technology,0.938,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",4,3,0.5045435140574496,17,4,1
EMP01668,Sales,0.938,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.600978876867594,22,0,1
EMP00532,Operations,0.934,1,66.3,0,Normal,0,Low,High,"High Risk, Low Performer",1,2,0.8550572042637258,15,2,2
EMP01690,HR,0.934,1,119.9,1,Normal,0,High,High,"High Risk, High Performer",1,1,1.350195490613306,23,33,5
EMP00115,Operations,0.933,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.4827844473872739,28,4,1
EMP00650,Finance,0.932,1,93.0,1,Normal,0,High,High,"High Risk, High Performer",1,2,0.6552695926064073,21,18,3
EMP01202,Technology,0.932,1,63.3,0,Normal,0,Low,High,"High Risk, Low Performer",3,1,0.5972230692606371,22,1,1
EMP01454,Sales,0.932,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,3,0.498516228748068,15,2,1
EMP00867,Technology,0.931,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",2,4,1.0306153564676466,19,1,2
EMP01439,Technology,0.931,1,58.6,0,Normal,0,Low,High,"High Risk, Low Performer",3,2,0.45497143786465,24,6,1
EMP01685,HR,0.931,1,77.0,0,Normal,0,Medium,High,"High Risk, Medium Performer",4,3,0.5584113374073647,22,11,2
