Employee_ID,Satisfaction_Score,Work_Life_Balance
EMP00254,4,4
EMP00255,2,3
EMP00256,3,2
EMP00257,3,3
EMP00258,3,3
EMP00259,3,4
EMP00260,3,2
EMP00261,2,2
EMP00262,4,5
EMP00263,5,2
EMP00264,3,1
EMP00265,3,1
EMP00266,1,1
EMP00267,4,5
EMP00268,2,2
EMP00269,3,4
EMP00270,5,5
EMP00271,3,3
EMP00272,4,1
EMP00273,3,1
EMP00274,1,3
EMP00275,4,3
EMP00276,1,3
EMP00277,4,3
EMP00278,1,4
EMP00279,4,3
EMP00280,2,3
EMP00281,3,4
EMP00282,3,1
EMP00283,3,2
EMP00284,3,1
EMP00285,3,1
EMP00286,3,3
EMP00287,3,2
EMP00288,3,3
EMP00289,3,5
EMP00290,2,2
EMP00291,5,3
EMP00292,3,1
EMP00293,2,2
EMP00294,3,3
EMP00295,4,4
EMP00296,1,2
EMP00297,3,1
EMP00298,3,2
EMP00299,2,1
EMP00300,4,2
EMP00301,3,3
EMP00302,2,1
EMP00303,4,3
EMP00304,3,3
EMP00305,4,3
EMP00306,3,1
EMP00307,4,5
EMP00308,4,2
EMP00309,1,3
EMP00310,4,2
EMP00311,3,3
EMP00312,1,2
EMP00313,3,2
EMP00314,1,1
EMP00315,4,2
EMP00316,3,4
EMP00317,5,3
EMP00318,2,1
EMP00319,3,3
EMP00320,2,4
EMP00321,3,3
EMP00322,4,1
EMP00323,4,4
EMP00324,4,2
EMP00325,4,3
EMP00326,1,3
EMP00327,3,4
EMP00328,3,4
EMP00329,3,4
EMP00330,2,1
EMP00331,3,4
EMP00332,3,1
EMP00333,3,2
EMP00334,4,3
EMP00335,3,3
EMP00336,1,3
EMP00337,1,3
EMP00338,4,4
EMP00339,5,2
EMP00340,3,2
EMP00341,3,4
EMP00342,5,1
EMP00343,3,3
EMP00344,4,3
EMP00345,4,3
EMP00346,3,3
EMP00347,3,2
EMP00348,2,4
EMP00349,2,1
EMP00350,4,3
EMP00351,4,1
EMP00352,4,3
EMP00353,3,3
EMP00354,1,4
EMP00355,1,3
EMP00356,3,3
EMP00357,3,4
EMP00358,3,3
EMP00359,1,3
EMP00360,5,3
EMP00361,3,3
EMP00362,4,4
EMP00363,3,2
EMP00364,2,3
EMP00365,4,3
EMP00366,4,4
EMP00367,3,4
EMP00368,3,3
EMP00369,1,3
EMP00370,3,2
EMP00371,5,3
EMP00372,1,4
EMP00373,2,4
EMP00374,5,4
EMP00375,2,1
EMP00376,3,4
EMP00377,3,4
EMP00378,3,2
EMP00379,3,3
EMP00380,2,3
EMP00381,1,3
EMP00382,4,5
EMP00383,4,3
EMP00384,3,3
EMP00385,3,3
EMP00386,2,3
EMP00387,1,4
EMP00388,4,3
EMP00389,3,3
EMP00390,3,1
EMP00391,2,2
EMP00392,1,3
EMP00393,3,4
EMP00394,4,2
EMP00395,5,2
EMP00396,4,2
EMP00397,5,3
EMP00398,5,5
EMP00399,3,3
EMP00400,2,3
EMP00401,4,3
EMP00402,2,1
EMP00403,2,3
EMP00404,2,3
EMP00405,3,3
EMP00406,3,4
EMP00407,2,3
EMP00408,3,3
EMP00409,4,4
EMP00410,3,5
EMP00411,4,3
EMP00412,2,1
EMP00413,2,3
EMP00414,3,3
EMP00415,3,1
EMP00416,3,1
EMP00417,4,1
EMP00418,4,3
EMP00419,5,3
EMP00420,3,2
EMP00421,2,1
EMP00422,3,3
EMP00423,2,2
EMP00424,2,2
EMP00425,2,3
EMP00426,3,3
EMP00427,2,2
EMP00428,1,3
EMP00429,3,2
EMP00430,3,3
EMP00431,4,2
EMP00432,3,2
EMP00433,2,3
EMP00434,2,3
EMP00435,2,2
EMP00436,4,1
EMP00437,4,4
EMP00438,2,3
EMP00439,3,2
EMP00440,5,3
EMP00441,3,1
EMP00442,4,3
EMP00443,2,1
EMP00444,2,2
EMP00445,4,1
EMP00446,3,3
EMP00447,3,3
EMP00448,3,3
EMP00449,3,1
EMP00450,4,2
EMP00451,2,3
EMP00452,3,2
EMP00453,4,3
EMP00454,3,2
EMP00455,3,3
EMP00456,4,3
EMP00457,5,5
EMP00458,3,1
EMP00459,3,1
EMP00460,4,3
EMP00461,4,4
EMP00462,4,5
EMP00463,3,3
EMP00464,3,3
EMP00465,3,3
EMP00466,4,3
EMP00467,4,3
EMP00468,2,4
EMP00469,3,3
EMP00470,3,3
EMP00471,5,3
EMP00472,3,3
EMP00473,3,3
EMP00474,1,3
EMP00475,3,1
EMP00476,1,2
EMP00477,4,3
EMP00478,4,4
EMP00479,3,2
EMP00480,3,3
EMP00481,4,2
EMP00482,2,1
EMP00483,2,5
EMP00484,5,4
EMP00485,4,1
EMP00486,4,3
EMP00487,2,2
EMP00488,2,5
EMP00489,1,2
EMP00490,2,2
EMP00491,4,3
EMP00492,2,4
EMP00493,4,2
EMP00494,2,3
EMP00495,3,1
EMP00496,5,4
EMP00497,2,1
EMP00498,3,4
EMP00499,3,3
EMP00500,2,3
EMP00501,3,5
EMP00502,3,5
EMP00503,3,3
EMP00504,4,1
EMP00505,3,3
EMP00506,1,3
EMP00507,3,3
EMP00508,1,3
EMP00509,3,1
EMP00510,3,3
EMP00511,2,3
EMP00512,4,1
EMP00513,5,3
EMP00514,4,3
EMP00515,3,3
EMP00516,3,1
EMP00517,5,3
EMP00518,3,2
EMP00519,4,3
EMP00520,1,3
EMP00521,1,3
EMP00522,4,1
EMP00523,4,3
EMP00524,4,5
EMP00525,5,2
EMP00526,2,4
EMP00527,2,3
EMP00528,5,3
EMP00529,2,2
EMP00530,3,2
EMP00531,3,4
EMP00532,1,2
EMP00533,2,1
EMP00534,3,3
EMP00535,4,1
EMP00536,4,3
EMP00537,3,3
EMP00538,3,4
EMP00539,2,3
EMP00540,2,1
EMP00541,3,2
EMP00542,1,3
EMP00543,2,3
EMP00544,3,5
EMP00545,3,3
EMP00546,1,1
EMP00547,3,4
EMP00548,3,1
EMP00549,1,1
EMP00550,5,3
EMP00551,1,4
EMP00552,4,3
EMP00553,1,2
EMP00554,4,2
EMP00555,1,2
EMP00556,4,2
EMP00557,3,2
EMP00558,4,3
EMP00559,3,4
EMP00560,1,2
EMP00561,4,2
EMP00562,1,4
EMP00563,5,3
EMP00564,1,4
EMP00565,3,2
EMP00566,4,1
EMP00567,3,3
EMP00568,2,3
EMP00569,4,3
EMP00570,4,3
EMP00571,5,2
EMP00572,3,3
EMP00573,3,3
EMP00574,3,3
EMP00575,2,3
EMP00576,4,3
EMP00577,3,2
EMP00578,3,2
EMP00579,3,3
EMP00580,4,1
EMP00581,5,3
EMP00582,3,4
EMP00583,3,2
EMP00584,4,1
EMP00585,3,5
EMP00586,1,2
EMP00587,1,1
EMP00588,1,2
EMP00589,3,3
EMP00590,4,2
EMP00591,3,3
EMP00592,3,3
EMP00593,5,1
EMP00594,4,2
EMP00595,3,3
EMP00596,2,3
EMP00597,2,1
EMP00598,1,2
EMP00599,2,3
EMP00600,2,4
EMP00601,3,2
EMP00602,1,3
EMP00603,2,2
EMP00604,2,2
EMP00605,3,1
EMP00606,3,3
EMP00607,3,3
EMP00608,2,4
EMP00609,3,3
EMP00610,1,4
EMP00611,2,2
EMP00612,4,2
EMP00613,5,5
EMP00614,3,3
EMP00615,5,4
EMP00616,3,1
EMP00617,1,2
EMP00618,5,3
EMP00619,1,1
EMP00620,3,3
EMP00621,2,3
EMP00622,3,1
EMP00623,3,2
EMP00624,3,2
EMP00625,2,1
EMP00626,3,3
EMP00627,3,2
EMP00628,5,2
EMP00629,4,4
EMP00630,3,3
EMP00631,2,2
EMP00632,4,3
EMP00633,2,4
EMP00634,2,1
EMP00635,3,3
EMP00636,4,3
EMP00637,2,2
EMP00638,2,3
EMP00639,3,5
EMP00640,2,4
EMP00641,3,2
EMP00642,3,2
EMP00643,3,5
EMP00644,2,3
EMP00645,2,2
EMP00646,4,3
EMP00647,4,2
EMP00648,2,2
EMP00649,2,4
EMP00650,1,2
EMP00651,3,1
EMP00652,4,2
EMP00653,3,3
EMP00654,3,1
EMP00655,4,3
EMP00656,5,3
EMP00657,1,4
EMP00658,2,2
EMP00659,1,4
EMP00660,4,2
EMP00661,4,3
EMP00662,3,3
EMP00663,1,1
EMP00664,2,3
EMP00665,2,2
EMP00666,3,2
EMP00667,2,2
EMP00668,1,3
EMP00669,4,2
EMP00670,2,2
EMP00671,3,1
EMP00672,2,3
EMP00673,4,3
EMP00674,3,2
EMP00675,5,1
EMP00676,3,3
EMP00677,5,3
EMP00678,4,3
EMP00679,3,4
EMP00680,5,1
EMP00681,3,5
EMP00682,3,2
EMP00683,1,5
EMP00684,3,2
EMP00685,4,3
EMP00686,4,2
EMP00687,2,2
EMP00688,3,4
EMP00689,2,3
EMP00690,3,5
EMP00691,2,3
EMP00692,5,3
EMP00693,2,1
EMP00694,2,5
EMP00695,4,3
EMP00696,3,3
EMP00697,1,3
EMP00698,3,3
EMP00699,1,4
EMP00700,5,2
EMP00701,3,2
EMP00702,2,2
EMP00703,3,3
EMP00704,1,1
EMP00705,4,1
EMP00706,5,2
EMP00707,4,3
EMP00708,3,3
EMP00709,3,1
EMP00710,1,5
EMP00711,3,5
EMP00712,3,2
EMP00713,3,3
EMP00714,5,3
EMP00715,2,2
EMP00716,1,2
EMP00717,1,3
EMP00718,2,3
EMP00719,1,2
EMP00720,3,4
EMP00721,3,3
EMP00722,2,3
EMP00723,4,2
EMP00724,2,3
EMP00725,3,2
EMP00726,3,3
EMP00727,3,3
EMP00728,5,3
EMP00729,1,2
EMP00730,3,3
EMP00731,4,4
EMP00732,3,3
EMP00733,2,1
EMP00734,3,3
EMP00735,3,1
EMP00736,4,4
EMP00737,1,3
EMP00738,1,2
EMP00739,3,1
EMP00740,2,2
EMP00741,2,4
EMP00742,2,1
EMP00743,2,3
EMP00744,2,4
EMP00745,5,2
EMP00746,2,3
EMP00747,2,3
EMP00748,2,3
EMP00749,5,2
EMP00750,4,1
EMP00751,4,3
EMP00752,2,4
EMP00753,4,1
EMP00754,3,2
EMP00755,2,2
EMP00756,3,4
EMP00757,4,2
EMP00758,4,4
EMP00759,4,1
EMP00760,5,4
EMP00761,2,3
EMP00762,3,3
EMP00763,1,2
EMP00764,4,3
EMP00765,2,2
EMP00766,4,1
EMP00767,3,2
EMP00768,3,4
EMP00769,1,3
EMP00770,3,3
EMP00771,4,3
EMP00772,1,1
EMP00773,3,4
EMP00774,1,3
EMP00775,3,3
EMP00776,2,3
EMP00777,2,5
EMP00778,4,4
EMP00779,3,3
EMP00780,2,2
EMP00781,3,3
EMP00782,2,3
EMP00783,2,2
EMP00784,3,2
EMP00785,2,3
EMP00786,3,3
EMP00787,3,3
EMP00788,4,2
EMP00789,5,3
EMP00790,2,3
EMP00791,3,1
EMP00792,3,2
EMP00793,2,4
EMP00794,4,3
EMP00795,4,2
EMP00796,3,4
EMP00797,3,1
EMP00798,1,5
EMP00799,3,2
EMP00800,4,1
EMP00801,3,3
EMP00802,2,2
EMP00803,3,3
EMP00804,3,3
EMP00805,3,4
EMP00806,3,3
EMP00807,3,3
EMP00808,4,1
EMP00809,4,1
EMP00810,1,3
EMP00811,5,1
EMP00812,3,3
EMP00813,4,3
EMP00814,4,2
EMP00815,3,3
EMP00816,4,2
EMP00817,2,3
EMP00818,2,3
EMP00819,3,3
EMP00820,4,1
EMP00821,4,3
EMP00822,3,2
EMP00823,3,3
EMP00824,3,3
EMP00825,5,3
EMP00826,3,4
EMP00827,4,3
EMP00828,3,1
EMP00829,3,2
EMP00830,3,4
EMP00831,5,1
EMP00832,3,3
EMP00833,5,3
EMP00834,1,3
EMP00835,3,3
EMP00836,4,3
EMP00837,4,3
EMP00838,5,4
EMP00839,1,3
EMP00840,1,3
EMP00841,3,3
EMP00842,1,3
EMP00843,5,4
EMP00844,2,2
EMP00845,3,2
EMP00846,1,4
EMP00847,3,3
EMP00848,3,2
EMP00849,1,3
EMP00850,3,5
EMP00851,3,4
EMP00852,5,3
EMP00853,2,2
EMP00854,3,4
EMP00855,5,3
EMP00856,4,4
EMP00857,5,2
EMP00858,5,1
EMP00859,3,3
EMP00860,3,2
EMP00861,2,3
EMP00862,3,5
EMP00863,4,3
EMP00864,3,4
EMP00865,4,3
EMP00866,4,3
EMP00867,2,4
EMP00868,4,3
EMP00869,3,3
EMP00870,2,3
EMP00871,4,3
EMP00872,3,2
EMP00873,4,4
EMP00874,3,5
EMP00875,3,3
EMP00876,4,3
EMP00877,3,3
EMP00878,3,3
EMP00879,2,3
EMP00880,4,4
EMP00881,1,3
EMP00882,4,1
EMP00883,3,4
EMP00884,3,3
EMP00885,5,4
EMP00886,2,1
EMP00887,3,1
EMP00888,4,4
EMP00889,4,1
EMP00890,3,4
EMP00891,3,4
EMP00892,4,3
EMP00893,4,1
EMP00894,4,3
EMP00895,3,4
EMP00896,5,3
EMP00897,3,3
EMP00898,1,3
EMP00899,3,1
EMP00900,2,4
EMP00901,2,4
EMP00902,2,5
EMP00903,1,3
EMP00904,3,3
EMP00905,1,2
EMP00906,2,3
EMP00907,1,3
EMP00908,1,4
EMP00909,2,4
EMP00910,3,4
EMP00911,5,4
EMP00912,4,4
EMP00913,4,1
EMP00914,2,4
EMP00915,2,3
EMP00916,1,2
EMP00917,4,1
EMP00918,1,3
EMP00919,3,2
EMP00920,2,3
EMP00921,2,3
EMP00922,5,4
EMP00923,4,4
EMP00924,4,3
EMP00925,3,2
EMP00926,4,2
EMP00927,3,2
EMP00928,5,1
EMP00929,2,5
EMP00930,3,3
EMP00931,3,1
EMP00932,3,2
EMP00933,4,3
EMP00934,5,3
EMP00935,3,1
EMP00936,3,5
EMP00937,3,2
EMP00938,4,1
EMP00939,3,1
EMP00940,1,3
EMP00941,3,1
EMP00942,1,1
EMP00943,4,2
EMP00944,3,3
EMP00945,3,1
EMP00946,4,2
EMP00947,1,3
EMP00948,2,2
EMP00949,3,3
EMP00950,2,1
EMP00951,3,1
EMP00952,5,3
EMP00953,4,2
EMP00954,4,1
EMP00955,5,3
EMP00956,3,4
EMP00957,2,3
EMP00958,2,4
EMP00959,4,4
EMP00960,3,5
EMP00961,2,3
EMP00962,3,3
EMP00963,3,2
EMP00964,3,2
EMP00965,4,3
EMP00966,3,5
EMP00967,5,3
EMP00968,3,3
EMP00969,4,3
EMP00970,5,3
EMP00971,5,3
EMP00972,1,3
EMP00973,2,2
EMP00974,3,3
EMP00975,3,4
EMP00976,3,4
EMP00977,5,2
EMP00978,2,4
EMP00979,3,2
EMP00980,2,2
EMP00981,4,3
EMP00982,5,2
EMP00983,3,1
EMP00984,2,2
EMP00985,4,3
EMP00986,3,2
EMP00987,3,3
EMP00988,4,3
EMP00989,5,3
EMP00990,3,4
EMP00991,3,3
EMP00992,2,2
EMP00993,3,2
EMP00994,3,3
EMP00995,3,3
EMP00996,1,1
EMP00997,2,2
EMP00998,2,3
EMP00999,3,3
EMP01000,3,3
EMP01001,3,4
EMP01002,3,3
EMP01003,3,3
EMP01004,4,3
EMP01005,3,5
EMP01006,5,3
EMP01007,3,2
EMP01008,3,2
EMP01009,1,3
EMP01010,3,4
EMP01011,4,2
EMP01012,5,1
EMP01013,5,4
EMP01014,2,4
EMP01015,3,2
EMP01016,3,2
EMP01017,3,3
EMP01018,2,2
EMP01019,4,4
EMP01020,5,1
EMP01021,3,1
EMP01022,2,2
EMP01023,2,2
EMP01024,3,1
EMP01025,3,1
EMP01026,5,3
EMP01027,3,2
EMP01028,3,4
EMP01029,3,2
EMP01030,1,3
EMP01031,5,2
EMP01032,3,2
EMP01033,5,3
EMP01034,3,3
EMP01035,4,3
EMP01036,1,3
EMP01037,3,3
EMP01038,4,3
EMP01039,4,4
EMP01040,4,3
EMP01041,2,5
EMP01042,5,4
EMP01043,5,1
EMP01044,1,2
EMP01045,5,3
EMP01046,2,3
EMP01047,3,3
EMP01048,3,3
EMP01049,5,2
EMP01050,2,2
EMP01051,3,1
EMP01052,3,3
EMP01053,3,3
EMP01054,3,2
EMP01055,2,3
EMP01056,4,1
EMP01057,5,1
EMP01058,4,3
EMP01059,4,2
EMP01060,3,3
EMP01061,3,4
EMP01062,3,4
EMP01063,1,2
EMP01064,5,3
EMP01065,2,3
EMP01066,5,3
EMP01067,1,3
EMP01068,4,2
EMP01069,2,2
EMP01070,1,3
EMP01071,4,3
EMP01072,2,2
EMP01073,4,1
EMP01074,3,3
EMP01075,2,2
EMP01076,5,2
EMP01077,3,1
EMP01078,4,2
EMP01079,3,3
EMP01080,3,2
EMP01081,3,1
EMP01082,2,1
EMP01083,3,2
EMP01084,3,3
EMP01085,3,1
EMP01086,3,3
EMP01087,3,1
EMP01088,1,2
EMP01089,3,2
EMP01090,3,1
EMP01091,1,3
EMP01092,2,3
EMP01093,1,4
EMP01094,5,1
EMP01095,4,1
EMP01096,1,2
EMP01097,1,3
EMP01098,4,2
EMP01099,3,3
EMP01100,4,2
EMP01101,5,1
EMP01102,3,4
EMP01103,2,3
EMP01104,4,3
EMP01105,5,3
EMP01106,3,3
EMP01107,3,1
EMP01108,3,3
EMP01109,3,2
EMP01110,4,3
EMP01111,5,3
EMP01112,3,3
EMP01113,4,3
EMP01114,2,3
EMP01115,2,1
EMP01116,3,2
EMP01117,2,1
EMP01118,3,3
EMP01119,2,5
EMP01120,4,2
EMP01121,4,1
EMP01122,3,3
EMP01123,2,4
EMP01124,3,3
EMP01125,5,1
EMP01126,3,5
EMP01127,1,4
EMP01128,1,1
EMP01129,3,4
EMP01130,2,3
EMP01131,4,2
EMP01132,4,3
EMP01133,2,4
EMP01134,3,3
EMP01135,2,1
EMP01136,5,5
EMP01137,3,1
EMP01138,3,3
EMP01139,3,3
EMP01140,3,2
EMP01141,3,2
EMP01142,3,4
EMP01143,3,3
EMP01144,3,3
EMP01145,2,3
EMP01146,2,3
EMP01147,3,3
EMP01148,3,2
EMP01149,3,2
EMP01150,5,4
EMP01151,1,3
EMP01152,2,2
EMP01153,2,4
EMP01154,3,3
EMP01155,3,1
EMP01156,4,5
EMP01157,2,3
EMP01158,3,2
EMP01159,4,2
EMP01160,5,3
EMP01161,5,3
EMP01162,4,2
EMP01163,5,2
EMP01164,2,2
EMP01165,2,3
EMP01166,1,2
EMP01167,4,1
EMP01168,5,3
EMP01169,2,3
EMP01170,3,3
EMP01171,4,2
EMP01172,5,3
EMP01173,3,2
EMP01174,5,5
EMP01175,3,3
EMP01176,3,2
EMP01177,3,2
EMP01178,3,3
EMP01179,1,3
EMP01180,4,3
EMP01181,4,4
EMP01182,4,3
EMP01183,3,3
EMP01184,3,4
EMP01185,3,3
EMP01186,1,3
EMP01187,3,5
EMP01188,2,2
EMP01189,1,2
EMP01190,4,4
EMP01191,1,3
EMP01192,5,4
EMP01193,3,1
EMP01194,5,3
EMP01195,1,1
EMP01196,3,3
EMP01197,3,2
EMP01198,4,1
EMP01199,3,1
EMP01200,2,3
EMP01201,4,2
EMP01202,3,1
EMP01203,1,2
EMP01204,3,2
EMP01205,3,4
EMP01206,2,2
EMP01207,3,2
EMP01208,1,4
EMP01209,3,3
EMP01210,4,3
EMP01211,3,3
EMP01212,3,4
EMP01213,1,2
EMP01214,2,5
EMP01215,2,4
EMP01216,3,3
EMP01217,3,3
EMP01218,5,3
EMP01219,1,1
EMP01220,3,2
EMP01221,3,5
EMP01222,3,3
EMP01223,4,2
EMP01224,2,3
EMP01225,1,3
EMP01226,3,1
EMP01227,3,3
EMP01228,1,3
EMP01229,2,2
EMP01230,3,5
EMP01231,3,2
EMP01232,2,3
EMP01233,3,1
EMP01234,3,3
EMP01235,3,2
EMP01236,5,2
EMP01237,1,4
EMP01238,5,1
EMP01239,3,3
EMP01240,4,3
EMP01241,3,5
EMP01242,3,3
EMP01243,4,1
EMP01244,4,1
EMP01245,2,4
EMP01246,2,4
EMP01247,3,2
EMP01248,5,3
EMP01249,3,3
EMP01250,3,5
EMP01251,4,4
EMP01252,4,5
EMP01253,3,4
EMP01254,3,4
EMP01255,5,2
EMP01256,3,4
EMP01257,4,3
EMP01258,3,5
EMP01259,3,3
EMP01260,2,1
EMP01261,2,3
EMP01262,4,3
EMP01263,3,2
EMP01264,3,2
EMP01265,2,3
EMP01266,3,2
EMP01267,3,2
EMP01268,3,1
EMP01269,2,4
EMP01270,4,3
EMP01271,4,1
EMP01272,2,3
EMP01273,3,3
EMP01274,3,1
EMP01275,3,2
EMP01276,4,3
EMP01277,3,3
EMP01278,3,3
EMP01279,3,3
EMP01280,2,2
EMP01281,2,5
EMP01282,3,2
EMP01283,1,3
EMP01284,5,1
EMP01285,4,2
EMP01286,4,3
EMP01287,5,2
EMP01288,3,3
EMP01289,4,2
EMP01290,2,3
EMP01291,1,3
EMP01292,4,1
EMP01293,1,4
EMP01294,5,2
EMP01295,3,2
EMP01296,4,3
EMP01297,2,3
EMP01298,3,3
EMP01299,1,1
EMP01300,4,4
EMP01301,2,3
EMP01302,3,1
EMP01303,2,2
EMP01304,1,4
EMP01305,3,3
EMP01306,2,1
EMP01307,4,2
EMP01308,2,2
EMP01309,3,3
EMP01310,3,4
EMP01311,2,3
EMP01312,3,3
EMP01313,4,4
EMP01314,2,3
EMP01315,1,3
EMP01316,3,2
EMP01317,3,3
EMP01318,3,3
EMP01319,3,2
EMP01320,4,5
EMP01321,1,4
EMP01322,3,3
EMP01323,3,3
EMP01324,3,3
EMP01325,5,2
EMP01326,3,2
EMP01327,5,3
EMP01328,3,3
EMP01329,1,4
EMP01330,2,1
EMP01331,3,3
EMP01332,3,3
EMP01333,1,3
EMP01334,3,4
EMP01335,3,5
EMP01336,2,1
EMP01337,2,1
EMP01338,4,1
EMP01339,3,3
EMP01340,4,2
EMP01341,3,3
EMP01342,3,3
EMP01343,2,3
EMP01344,3,3
EMP01345,3,3
EMP01346,3,3
EMP01347,2,1
EMP01348,2,3
EMP01349,4,3
EMP01350,3,3
EMP01351,3,4
EMP01352,3,4
EMP01353,4,4
EMP01354,3,2
EMP01355,3,3
EMP01356,5,2
EMP01357,4,2
EMP01358,2,2
EMP01359,2,1
EMP01360,4,2
EMP01361,4,3
EMP01362,3,5
EMP01363,3,2
EMP01364,3,4
EMP01365,3,2
EMP01366,3,2
EMP01367,2,3
EMP01368,5,3
EMP01369,4,1
EMP01370,3,2
EMP01371,3,3
EMP01372,2,2
EMP01373,3,3
EMP01374,3,3
EMP01375,3,2
EMP01376,3,4
EMP01377,3,2
EMP01378,4,3
EMP01379,1,3
EMP01380,3,5
EMP01381,4,3
EMP01382,3,3
EMP01383,3,2
EMP01384,3,3
EMP01385,5,3
EMP01386,1,3
EMP01387,3,4
EMP01388,1,1
EMP01389,2,4
EMP01390,3,4
EMP01391,2,3
EMP01392,5,3
EMP01393,5,2
EMP01394,3,5
