Employee_ID,Date,Leave_Type,Shift
EMP00420,2026-03-16,Casual,Morning
EMP00421,2026-02-19,Casual,Morning
EMP00425,2026-03-24,Unpaid,Morning
EMP00429,2026-02-02,Casual,Morning
EMP00433,2026-02-04,Sick,Morning
EMP00433,2026-01-05,Sick,Morning
EMP00434,2026-01-07,Unpaid,Morning
EMP00434,2026-03-12,Casual,Morning
EMP00436,2026-01-14,Sick,Morning
EMP00436,2026-03-09,Casual,Morning
EMP00439,2026-02-17,Sick,Morning
EMP00439,2026-01-05,Casual,Morning
EMP00443,2026-01-30,Unpaid,Morning
EMP00444,2026-02-20,Casual,Morning
EMP00444,2026-01-08,Sick,Morning
EMP00451,2026-02-17,Casual,Morning
EMP00451,2026-02-26,Unpaid,Morning
EMP00452,2026-02-02,Sick,Morning
EMP00452,2026-02-25,Sick,Morning
EMP00461,2026-01-26,Casual,Morning
EMP00461,2026-03-12,Unpaid,Morning
EMP00461,2026-02-06,Sick,Morning
EMP00462,2026-01-01,Sick,Morning
EMP00462,2026-02-27,Casual,Morning
EMP00464,2026-03-02,Sick,Morning
EMP00464,2026-01-30,Sick,Morning
EMP00464,2026-03-16,Casual,Morning
EMP00465,2026-01-28,Sick,Morning
EMP00465,2026-03-02,Casual,Morning
EMP00466,2026-03-12,Casual,Morning
EMP00466,2026-01-16,Unpaid,Morning
EMP00474,2026-01-19,Sick,Morning
EMP00478,2026-03-20,Unpaid,Morning
EMP00478,2026-03-10,Sick,Morning
EMP00478,2026-02-26,Casual,Morning
EMP00483,2026-01-29,Unpaid,Morning
EMP00486,2026-01-21,Casual,Morning
EMP00486,2026-02-18,Unpaid,Morning
EMP00487,2026-01-27,Unpaid,Morning
EMP00487,2026-01-20,Casual,Morning
EMP00488,2026-01-14,Unpaid,Morning
EMP00490,2026-01-23,Sick,Morning
EMP00490,2026-02-26,Casual,Morning
EMP00492,2026-02-18,Unpaid,Morning
EMP00492,2026-01-20,Casual,Morning
EMP00494,2026-03-25,Unpaid,Morning
EMP00495,2026-01-15,Casual,Morning
EMP00495,2026-03-19,Casual,Morning
EMP00495,2026-01-02,Unpaid,Morning
EMP00497,2026-02-12,Sick,Morning
EMP00497,2026-01-26,Sick,Morning
EMP00498,2026-03-18,Casual,Morning
EMP00499,2026-03-23,Casual,Morning
EMP00502,2026-02-20,Unpaid,Morning
EMP00502,2026-03-13,Unpaid,Morning
EMP00505,2026-02-02,Casual,Morning
EMP00505,2026-02-20,Unpaid,Morning
EMP00506,2026-03-26,Casual,Morning
EMP00507,2026-02-16,Unpaid,Morning
EMP00513,2026-03-05,Casual,Morning
EMP00515,2026-03-09,Casual,Morning
EMP00516,2026-03-10,Unpaid,Morning
EMP00516,2026-03-03,Sick,Morning
EMP00522,2026-02-20,Casual,Morning
EMP00524,2026-01-20,Sick,Morning
EMP00524,2026-01-07,Casual,Morning
EMP00524,2026-03-31,Unpaid,Morning
EMP00526,2026-02-16,Casual,Morning
EMP00527,2026-03-17,Casual,Morning
EMP00529,2026-02-03,Casual,Morning
EMP00533,2026-03-04,Sick,Morning
EMP00533,2026-03-16,Unpaid,Morning
EMP00533,2026-01-06,Sick,Morning
EMP00534,2026-01-13,Casual,Morning
EMP00534,2026-02-20,Sick,Morning
EMP00539,2026-01-22,Casual,Morning
EMP00542,2026-01-26,Sick,Morning
EMP00542,2026-02-16,Casual,Morning
EMP00543,2026-02-06,Sick,Morning
EMP00543,2026-01-15,Unpaid,Morning
EMP00546,2026-03-18,Casual,Morning
EMP00546,2026-02-09,Unpaid,Morning
EMP00546,2026-02-04,Sick,Morning
EMP00551,2026-02-03,Casual,Morning
EMP00553,2026-03-04,Sick,Morning
EMP00554,2026-02-12,Sick,Morning
EMP00554,2026-03-13,Casual,Morning
EMP00554,2026-02-02,Casual,Morning
EMP00561,2026-01-26,Sick,Morning
EMP00561,2026-01-06,Casual,Morning
EMP00561,2026-01-07,Casual,Morning
EMP00564,2026-01-21,Casual,Morning
EMP00567,2026-03-06,Sick,Morning
EMP00567,2026-02-26,Sick,Morning
EMP00567,2026-03-10,Unpaid,Morning
EMP00570,2026-03-03,Casual,Morning
EMP00571,2026-01-29,Unpaid,Morning
EMP00571,2026-03-05,Casual,Morning
EMP00571,2026-03-03,Casual,Morning
EMP00574,2026-02-11,Casual,Morning
EMP00574,2026-01-15,Unpaid,Morning
EMP00575,2026-02-18,Casual,Morning
EMP00575,2026-01-06,Unpaid,Morning
EMP00577,2026-02-27,Sick,Morning
EMP00577,2026-01-27,Sick,Morning
EMP00583,2026-01-05,Unpaid,Morning
EMP00586,2026-01-28,Unpaid,Morning
EMP00586,2026-01-13,Casual,Morning
EMP00586,2026-01-23,Casual,Morning
EMP00587,2026-02-16,Sick,Morning
EMP00587,2026-03-16,Sick,Morning
EMP00587,2026-02-19,Sick,Morning
EMP00590,2026-02-11,Sick,Morning
EMP00590,2026-03-05,Sick,Morning
EMP00590,2026-02-12,Sick,Morning
EMP00592,2026-02-24,Unpaid,Morning
EMP00593,2026-01-05,Sick,Morning
EMP00595,2026-02-11,Sick,Morning
EMP00598,2026-03-11,Unpaid,Morning
EMP00598,2026-02-02,Sick,Morning
EMP00602,2026-02-27,Unpaid,Morning
EMP00604,2026-01-13,Sick,Morning
EMP00604,2026-03-06,Sick,Morning
EMP00605,2026-02-05,Casual,Morning
EMP00609,2026-02-27,Sick,Morning
EMP00609,2026-02-18,Sick,Morning
EMP00611,2026-02-02,Casual,Morning
EMP00618,2026-01-13,Sick,Morning
EMP00621,2026-03-11,Sick,Morning
EMP00622,2026-03-27,Sick,Morning
EMP00623,2026-01-06,Sick,Morning
EMP00623,2026-03-12,Sick,Morning
EMP00625,2026-02-11,Sick,Morning
EMP00630,2026-01-13,Casual,Morning
EMP00637,2026-01-14,Sick,Morning
EMP00640,2026-03-23,Casual,Morning
EMP00640,2026-01-27,Unpaid,Morning
EMP00642,2026-03-11,Sick,Morning
EMP00642,2026-02-26,Sick,Morning
EMP00647,2026-03-09,Sick,Morning
EMP00647,2026-01-08,Unpaid,Morning
EMP00649,2026-01-22,Unpaid,Morning
EMP00649,2026-01-08,Sick,Morning
EMP00649,2026-02-23,Sick,Morning
EMP00650,2026-03-13,Unpaid,Morning
EMP00651,2026-02-04,Unpaid,Morning
EMP00652,2026-02-17,Unpaid,Morning
EMP00652,2026-01-14,Sick,Morning
EMP00658,2026-01-09,Unpaid,Morning
EMP00658,2026-02-10,Sick,Morning
EMP00661,2026-03-05,Sick,Morning
EMP00662,2026-03-25,Casual,Morning
EMP00664,2026-01-08,Casual,Morning
EMP00665,2026-03-06,Unpaid,Morning
EMP00666,2026-03-12,Casual,Morning
EMP00671,2026-02-04,Casual,Morning
EMP00673,2026-03-10,Unpaid,Morning
EMP00675,2026-02-17,Casual,Morning
EMP00675,2026-03-25,Casual,Morning
EMP00675,2026-03-10,Unpaid,Morning
EMP00679,2026-01-02,Casual,Morning
EMP00680,2026-03-16,Unpaid,Morning
EMP00680,2026-02-25,Casual,Morning
EMP00690,2026-02-26,Unpaid,Morning
EMP00691,2026-03-17,Unpaid,Morning
EMP00691,2026-03-12,Sick,Morning
EMP00693,2026-02-03,Sick,Morning
EMP00693,2026-02-19,Unpaid,Morning
EMP00700,2026-02-04,Unpaid,Morning
EMP00700,2026-02-17,Casual,Morning
EMP00701,2026-01-02,Sick,Morning
EMP00705,2026-03-31,Unpaid,Morning
EMP00708,2026-03-24,Sick,Morning
EMP00708,2026-01-22,Unpaid,Morning
EMP00708,2026-01-30,Casual,Morning
EMP00710,2026-01-05,Unpaid,Morning
EMP00710,2026-01-16,Sick,Morning
EMP00712,2026-01-09,Casual,Morning
EMP00716,2026-02-03,Unpaid,Morning
EMP00719,2026-02-18,Sick,Morning
EMP00724,2026-02-02,Casual,Morning
EMP00724,2026-02-20,Sick,Morning
EMP00725,2026-01-12,Casual,Morning
EMP00728,2026-03-27,Unpaid,Morning
EMP00728,2026-03-30,Unpaid,Morning
EMP00732,2026-02-27,Sick,Morning
EMP00733,2026-02-04,Sick,Morning
EMP00733,2026-03-18,Sick,Morning
EMP00734,2026-01-16,Unpaid,Morning
EMP00736,2026-01-20,Casual,Morning
EMP00736,2026-02-11,Casual,Morning
EMP00736,2026-03-16,Sick,Morning
EMP00739,2026-02-27,Sick,Morning
EMP00739,2026-01-23,Sick,Morning
EMP00739,2026-03-17,Unpaid,Morning
EMP00740,2026-02-27,Casual,Morning
EMP00741,2026-03-10,Casual,Morning
EMP00746,2026-03-11,Casual,Morning
EMP00747,2026-01-13,Casual,Morning
EMP00747,2026-01-08,Casual,Morning
EMP00755,2026-02-10,Sick,Morning
EMP00756,2026-03-19,Unpaid,Morning
EMP00756,2026-01-02,Sick,Morning
EMP00757,2026-02-06,Sick,Morning
EMP00757,2026-01-28,Sick,Morning
EMP00757,2026-02-19,Casual,Morning
EMP00759,2026-02-06,Casual,Morning
EMP00759,2026-03-06,Casual,Morning
EMP00764,2026-02-18,Unpaid,Morning
EMP00764,2026-03-27,Sick,Morning
EMP00766,2026-03-03,Sick,Morning
EMP00766,2026-01-08,Sick,Morning
EMP00768,2026-01-23,Sick,Morning
EMP00768,2026-01-29,Casual,Morning
EMP00770,2026-03-23,Sick,Morning
EMP00774,2026-02-18,Unpaid,Morning
EMP00774,2026-02-03,Unpaid,Morning
EMP00775,2026-01-06,Unpaid,Morning
EMP00775,2026-02-27,Sick,Morning
EMP00778,2026-01-28,Unpaid,Morning
EMP00778,2026-02-04,Casual,Morning
EMP00778,2026-03-18,Unpaid,Morning
EMP00781,2026-02-10,Sick,Morning
EMP00782,2026-01-07,Casual,Morning
EMP00784,2026-01-09,Casual,Morning
EMP00790,2026-02-12,Sick,Morning
EMP00790,2026-02-27,Casual,Morning
EMP00790,2026-02-09,Sick,Morning
EMP00791,2026-03-18,Casual,Morning
EMP00795,2026-03-10,Casual,Morning
EMP00795,2026-02-18,Casual,Morning
EMP00798,2026-03-17,Unpaid,Morning
EMP00802,2026-01-06,Unpaid,Morning
EMP00812,2026-03-19,Casual,Morning
EMP00812,2026-02-12,Unpaid,Morning
EMP00812,2026-01-16,Unpaid,Morning
EMP00821,2026-02-10,Unpaid,Morning
EMP00821,2026-01-22,Casual,Morning
EMP00823,2026-02-03,Casual,Morning
EMP00824,2026-03-11,Casual,Morning
EMP00825,2026-03-04,Unpaid,Morning
EMP00834,2026-03-11,Casual,Morning
EMP00836,2026-01-16,Casual,Morning
EMP00841,2026-03-19,Sick,Morning
EMP00841,2026-03-02,Sick,Morning
EMP00841,2026-01-08,Unpaid,Morning
EMP00843,2026-03-25,Casual,Morning
EMP00845,2026-01-05,Casual,Morning
EMP00846,2026-03-05,Sick,Morning
EMP00847,2026-01-19,Unpaid,Morning
EMP00847,2026-01-29,Sick,Morning
EMP00848,2026-02-24,Unpaid,Morning
EMP00848,2026-01-05,Casual,Morning
EMP00853,2026-02-19,Sick,Morning
EMP00853,2026-02-04,Unpaid,Morning
EMP00854,2026-01-22,Unpaid,Morning
EMP00854,2026-02-27,Unpaid,Morning
EMP00855,2026-01-29,Casual,Morning
EMP00856,2026-01-15,Casual,Morning
EMP00856,2026-01-19,Casual,Morning
EMP00861,2026-01-14,Sick,Morning
EMP00861,2026-02-10,Casual,Morning
EMP00862,2026-02-04,Casual,Morning
EMP00864,2026-01-28,Sick,Morning
EMP00864,2026-01-22,Casual,Morning
EMP00869,2026-03-06,Sick,Morning
EMP00869,2026-03-20,Casual,Morning
EMP00871,2026-02-16,Sick,Morning
EMP00871,2026-02-20,Casual,Morning
EMP00872,2026-01-14,Sick,Morning
EMP00875,2026-01-14,Unpaid,Morning
EMP00875,2026-03-09,Sick,Morning
EMP00876,2026-03-23,Unpaid,Morning
EMP00877,2026-03-20,Unpaid,Morning
EMP00877,2026-03-16,Unpaid,Morning
EMP00880,2026-03-26,Casual,Morning
EMP00880,2026-03-09,Unpaid,Morning
EMP00885,2026-03-11,Casual,Morning
EMP00887,2026-03-20,Sick,Morning
EMP00887,2026-03-11,Sick,Morning
EMP00888,2026-03-31,Sick,Morning
EMP00888,2026-03-18,Sick,Morning
EMP00892,2026-01-28,Sick,Morning
EMP00893,2026-02-03,Casual,Morning
EMP00893,2026-02-24,Sick,Morning
EMP00896,2026-02-09,Casual,Morning
EMP00896,2026-02-11,Sick,Morning
EMP00899,2026-03-11,Casual,Morning
EMP00902,2026-01-21,Casual,Morning
EMP00902,2026-02-18,Sick,Morning
EMP00902,2026-01-02,Sick,Morning
EMP00905,2026-02-16,Sick,Morning
EMP00905,2026-01-12,Sick,Morning
EMP00920,2026-02-20,Unpaid,Morning
EMP00920,2026-03-19,Sick,Morning
EMP00920,2026-02-23,Sick,Morning
EMP00924,2026-01-14,Unpaid,Morning
EMP00926,2026-02-04,Sick,Morning
EMP00926,2026-02-06,Unpaid,Morning
EMP00926,2026-01-12,Unpaid,Morning
EMP00931,2026-03-26,Sick,Morning
EMP00931,2026-02-26,Casual,Morning
EMP00932,2026-02-04,Sick,Morning
EMP00932,2026-03-18,Casual,Morning
EMP00935,2026-01-19,Unpaid,Morning
EMP00937,2026-02-11,Casual,Morning
EMP00938,2026-03-25,Sick,Morning
EMP00939,2026-02-05,Casual,Morning
EMP00942,2026-03-10,Casual,Morning
EMP00946,2026-01-30,Casual,Morning
EMP00948,2026-02-05,Casual,Morning
EMP00961,2026-03-18,Sick,Morning
EMP00962,2026-01-20,Sick,Morning
EMP00962,2026-03-12,Unpaid,Morning
EMP00964,2026-03-24,Sick,Morning
EMP00964,2026-01-07,Sick,Morning
EMP00965,2026-01-12,Sick,Morning
EMP00965,2026-01-26,Unpaid,Morning
EMP00966,2026-03-27,Unpaid,Morning
EMP00966,2026-01-09,Sick,Morning
EMP00967,2026-02-16,Unpaid,Morning
EMP00968,2026-02-16,Unpaid,Morning
EMP00968,2026-03-19,Unpaid,Morning
EMP00969,2026-02-24,Unpaid,Morning
EMP00971,2026-01-15,Casual,Morning
EMP00971,2026-03-23,Casual,Morning
EMP00972,2026-01-07,Sick,Morning
EMP00972,2026-01-02,Sick,Morning
EMP00973,2026-01-13,Casual,Morning
EMP00973,2026-01-26,Casual,Morning
EMP00975,2026-03-13,Casual,Morning
EMP00975,2026-02-04,Unpaid,Morning
EMP00976,2026-01-02,Sick,Morning
EMP00978,2026-02-04,Sick,Morning
EMP00978,2026-03-23,Unpaid,Morning
EMP00979,2026-02-06,Casual,Morning
EMP00979,2026-01-09,Unpaid,Morning
EMP00979,2026-02-19,Casual,Morning
EMP00987,2026-01-22,Unpaid,Morning
EMP00988,2026-01-26,Casual,Morning
EMP00991,2026-01-26,Sick,Morning
EMP00992,2026-02-17,Casual,Morning
EMP00992,2026-03-27,Sick,Morning
EMP00992,2026-01-16,Sick,Morning
EMP00993,2026-01-16,Unpaid,Morning
EMP00994,2026-03-05,Casual,Morning
EMP00996,2026-03-23,Sick,Morning
EMP00997,2026-03-12,Casual,Morning
EMP01000,2026-02-10,Casual,Morning
EMP01003,2026-01-26,Unpaid,Morning
EMP01004,2026-01-23,Sick,Morning
EMP01009,2026-03-09,Sick,Morning
EMP01009,2026-01-14,Sick,Morning
EMP01013,2026-03-02,Sick,Morning
EMP01013,2026-01-05,Sick,Morning
EMP01016,2026-01-28,Sick,Morning
EMP01016,2026-01-20,Casual,Morning
EMP01016,2026-01-01,Casual,Morning
EMP01019,2026-01-19,Unpaid,Morning
EMP01019,2026-03-10,Sick,Morning
EMP01022,2026-03-11,Casual,Morning
EMP01022,2026-01-19,Casual,Morning
EMP01023,2026-01-30,Sick,Morning
EMP01029,2026-01-26,Casual,Morning
EMP01029,2026-03-03,Sick,Morning
EMP01029,2026-01-02,Sick,Morning
EMP01030,2026-01-21,Unpaid,Morning
EMP01030,2026-02-20,Sick,Morning
EMP01031,2026-03-13,Unpaid,Morning
EMP01032,2026-03-09,Unpaid,Morning
EMP01033,2026-02-17,Unpaid,Morning
EMP01034,2026-03-19,Sick,Morning
EMP01034,2026-02-09,Casual,Morning
EMP01035,2026-01-21,Unpaid,Morning
EMP01035,2026-01-13,Unpaid,Morning
EMP01042,2026-03-23,Casual,Morning
EMP01042,2026-02-23,Unpaid,Morning
EMP01043,2026-01-12,Sick,Morning
EMP01043,2026-02-24,Casual,Morning
EMP01044,2026-02-27,Casual,Morning
EMP01050,2026-03-09,Unpaid,Morning
EMP01050,2026-01-13,Unpaid,Morning
EMP01050,2026-03-04,Casual,Morning
EMP01051,2026-03-12,Sick,Morning
EMP01053,2026-02-27,Sick,Morning
EMP01053,2026-01-09,Sick,Morning
EMP01056,2026-01-23,Casual,Morning
EMP01057,2026-01-08,Casual,Morning
EMP01061,2026-01-01,Casual,Morning
