Employee_ID,Age,Attrition_Target,Base_Salary,Bonus_Last_Year,Tax_Deductions,Training_Hours_Completed,KPI_Achievement_Pct,Manager_Rating,Satisfaction_Score,Work_Life_Balance,Total_Overtime_Hours,Total_Late_Days,Total_Working_Days_Attended,Total_Leave_Days,Tenure_Months,Absenteeism_Rate,Compa_Ratio,Avg_Daily_Overtime,Department_HR,Department_Marketing,Department_Operations,Department_Sales,Department_Technology,Gender_Male,Gender_Other,Attendance_Anomaly_Flag,Attendance_Status,Department,Critical_Flight_Risk
EMP00018,23,1,77067,8065,15139,36,116,5,1,4,22,3,64,0,71.9119579500657,0.0,0.7833445142404099,0.34375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00019,42,1,98420,13489,22086,0,69,2,2,5,17,0,62,2,81.4388961892247,0.0307692307692307,1.0141164348274083,0.2741935483870967,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00020,54,1,57357,3880,7128,14,82,3,2,3,24,4,61,3,71.02496714848883,0.0461538461538461,0.6012201129967191,0.3934426229508196,1,0,0,0,0,1,0,-1,Anomaly,HR,1
EMP00021,33,0,79851,5932,14118,31,116,5,4,3,36,3,64,0,36.136662286465175,0.0,0.8116423736049277,0.5625,0,0,0,0,1,1,0,-1,Anomaly,Technology,0
EMP00022,43,0,78262,10086,7517,7,79,3,3,2,26,1,63,1,48.71879106438896,0.0153846153846153,0.7954910451098778,0.4126984126984127,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00023,46,1,116853,8328,22533,32,120,5,1,2,16,4,64,0,98.45597897503283,0.0,1.268404142153138,0.25,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00024,48,0,98643,6333,19228,17,96,5,3,2,22,0,64,0,65.40735873850197,0.0,1.0026529243154236,0.34375,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00025,49,0,61534,5759,19179,28,109,5,3,3,24,2,64,0,96.61629434954008,0.0,0.6358920304232805,0.375,0,1,0,0,0,1,0,1,Normal,Marketing,0
EMP00026,37,0,131270,6485,23262,31,120,5,3,5,26,2,64,0,63.79763469119579,0.0,1.4248963376245576,0.40625,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00027,36,0,141433,13870,14675,32,120,5,2,1,22,1,63,1,9.95400788436268,0.0153846153846153,1.5352126435533944,0.3492063492063492,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00028,24,1,72872,11268,5309,4,63,1,3,2,17,2,61,3,58.86990801576872,0.0461538461538461,0.7407046004350389,0.2786885245901639,0,0,0,0,1,0,0,-1,Anomaly,Technology,1
EMP00029,58,0,145737,5067,8952,17,112,5,5,2,28,0,63,1,49.63863337713535,0.0153846153846153,1.581931268045937,0.4444444444444444,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00030,28,1,47689,12075,24433,9,67,2,1,3,15,2,64,0,67.31274638633377,0.0,0.4847329796100912,0.234375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00031,42,1,109103,661,18871,35,120,5,2,2,22,2,64,0,86.49802890932983,0.0,1.1089731861519383,0.34375,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00032,30,0,126268,7973,14692,32,120,5,2,3,18,2,64,0,86.39947437582128,0.0,1.304852843915344,0.28125,0,1,0,0,0,1,0,1,Normal,Marketing,0
EMP00033,39,1,126310,6386,5015,22,110,5,2,1,24,3,64,0,42.27989487516425,0.0,1.3014940752189592,0.375,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00034,25,0,128731,10002,21989,39,120,5,3,3,20,2,62,2,38.30486202365309,0.0307692307692307,1.326439979392066,0.3225806451612903,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00035,46,0,77412,7887,21005,4,70,2,4,1,19,2,64,0,55.65045992115637,0.0,0.7999751984126984,0.296875,0,1,0,0,0,1,0,1,Normal,Marketing,0
EMP00036,35,0,87734,414,19278,33,111,5,5,3,19,0,63,1,43.19973718791064,0.0153846153846153,0.8917688194995019,0.3015873015873015,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00037,30,1,149634,6850,19817,23,120,5,2,1,22,4,64,0,15.932982917214192,0.0,1.5209489540769654,0.34375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00038,47,0,127793,8534,14759,16,103,5,3,3,17,1,63,1,79.3035479632063,0.0153846153846153,1.3167748583204533,0.2698412698412698,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00039,23,0,109930,2729,20664,30,120,5,3,3,23,0,64,0,83.80420499342969,0.0,1.193257060981699,0.359375,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00040,41,0,141838,11642,11412,6,97,5,3,3,25,2,64,0,41.09724047306176,0.0,1.4657531415343916,0.390625,0,1,0,0,0,1,0,1,Normal,Marketing,0
EMP00041,49,0,62228,11857,15196,16,87,4,3,3,30,2,64,0,14.684625492772668,0.0,0.6325140777784554,0.46875,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00042,28,0,117924,11929,13507,27,113,5,2,2,26,0,64,0,73.68593955321944,0.0,1.2150850077279751,0.40625,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00043,29,0,51319,14988,9820,37,117,5,3,1,21,0,63,1,75.06570302233902,0.0153846153846153,0.5216299729625338,0.3333333333333333,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00044,56,0,46475,3897,12835,21,92,4,3,3,21,0,64,0,78.74507227332457,0.0,0.4723933239820292,0.328125,0,0,0,0,1,0,1,1,Normal,Technology,0
EMP00045,35,0,137091,12433,6849,14,98,5,4,3,21,0,62,2,68.36399474375821,0.0307692307692307,1.488081540498882,0.3387096774193548,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00046,38,0,123694,12610,18587,36,120,5,4,3,25,2,64,0,11.957950065703022,0.0,1.2572828362911914,0.390625,0,0,0,0,1,0,1,1,Normal,Technology,0
EMP00047,57,1,54728,2169,6953,14,81,3,2,3,15,2,63,1,39.06044678055191,0.0153846153846153,0.5562806204386981,0.238095238095238,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00048,25,1,69545,13563,24153,24,101,5,1,4,33,0,64,0,69.21813403416557,0.0,0.720554105018857,0.515625,0,0,0,0,0,1,0,-1,Anomaly,Finance,1
EMP00049,23,0,136636,1878,17731,20,112,5,5,3,16,1,64,0,88.40341655716162,0.0,1.4119957010582012,0.25,0,1,0,0,0,1,0,1,Normal,Marketing,0
EMP00050,27,0,121686,12162,24430,37,120,5,3,1,20,1,63,1,60.972404730617605,0.0153846153846153,1.2575024801587302,0.3174603174603174,0,1,0,0,0,1,0,1,Normal,Marketing,0
EMP00051,25,0,138750,6454,11840,1,85,3,4,3,19,1,64,0,15.2431011826544,0.0,1.4103189607855096,0.296875,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00052,50,0,138412,12888,10066,26,120,5,1,1,21,1,64,0,89.81603153745071,0.0,1.4068833729747312,0.328125,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00053,39,0,101756,4570,7415,31,120,5,3,3,23,2,62,2,28.38370565045992,0.0307692307692307,1.034294891341912,0.3709677419354839,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00054,47,0,108775,10809,7389,20,103,5,3,2,20,2,64,0,66.09724047306176,0.0,1.1056392429509465,0.3125,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00055,55,1,78699,1515,21211,3,74,2,4,1,27,2,62,2,40.73587385019711,0.0307692307692307,0.8153984831530523,0.4354838709677419,0,0,0,0,0,1,0,1,Normal,Finance,0
EMP00056,31,0,76821,574,5763,18,89,4,1,4,26,1,62,2,50.75558475689881,0.0307692307692307,0.8338688318172937,0.4193548387096774,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00057,57,1,70615,12634,22199,1,61,1,2,3,24,3,64,0,75.29566360052561,0.0,0.7316403497865639,0.375,0,0,0,0,0,1,0,1,Normal,Finance,0
EMP00058,35,0,53746,2867,11255,25,98,5,3,2,23,1,64,0,24.14586070959264,0.0,0.5833966524108286,0.359375,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00059,52,0,126457,13798,22261,33,120,5,4,1,20,0,64,0,43.49540078843626,0.0,1.3030087583719732,0.3125,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00060,36,0,62745,3544,12173,13,83,3,5,3,29,2,62,2,74.63863337713535,0.0307692307692307,0.6500994653736168,0.4677419354838709,0,0,0,0,0,0,0,1,Normal,Finance,0
EMP00061,29,1,41245,4477,15518,14,69,2,5,4,31,2,64,0,73.22601839684626,0.0,0.4249871200412158,0.484375,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00062,35,0,64853,13591,15252,19,88,4,5,3,26,1,62,2,20.59789750328515,0.0307692307692307,0.6797937128541629,0.4193548387096774,1,0,0,0,0,1,0,1,Normal,HR,0
EMP00063,44,0,67632,71,17447,33,115,5,1,5,23,1,64,0,63.76478318002628,0.0,0.6968778979907264,0.359375,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00064,42,1,52856,10760,20089,35,110,5,1,1,18,2,63,1,59.26412614980289,0.0153846153846153,0.5372527494866948,0.2857142857142857,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00065,37,1,96893,11629,14395,18,95,4,2,3,21,1,61,3,66.95137976346912,0.0461538461538461,0.998382277176713,0.3442622950819672,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00066,39,0,110641,2980,17067,8,90,4,3,3,21,2,64,0,93.00262812089356,0.0,1.200974751970128,0.328125,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00067,45,0,141226,9309,24207,6,93,4,4,3,18,1,62,2,58.77135348226018,0.0307692307692307,1.435486166168608,0.2903225806451613,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00068,47,0,108049,5492,10287,29,120,5,4,1,29,2,62,2,60.84099868593955,0.0307692307692307,1.098259844280458,0.4677419354838709,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00069,46,0,98182,10578,24669,12,96,5,2,3,18,1,64,0,16.26149802890933,0.0,1.01166409067491,0.28125,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00070,50,0,42801,11700,18461,26,95,4,3,3,26,1,62,2,26.511169513797636,0.0307692307692307,0.4645919718646202,0.4193548387096774,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00071,36,0,137881,9551,18402,34,120,5,5,3,21,1,64,0,43.39684625492772,0.0,1.4248615244708995,0.328125,0,1,0,0,0,0,0,1,Normal,Marketing,0
EMP00072,22,0,119431,4759,12433,12,98,5,3,3,32,3,64,0,52.03679369250985,0.0,1.237421774628041,0.5,0,0,0,0,0,0,0,-1,Anomaly,Finance,0
EMP00073,46,1,79749,9707,16284,14,90,4,2,3,29,2,64,0,85.18396846254927,0.0,0.8106055985851071,0.453125,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00074,28,0,113757,8084,9826,8,95,4,3,3,21,2,64,0,79.40210249671485,0.0,1.1755642361111112,0.328125,0,1,0,0,0,0,0,1,Normal,Marketing,0
EMP00075,30,0,95654,14179,8664,22,105,5,3,2,26,2,64,0,51.51116951379763,0.0,0.9856156620298816,0.40625,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00076,45,0,111574,39,15528,35,120,5,3,3,18,2,64,0,62.023653088042046,0.0,1.2111021861363784,0.28125,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00077,22,0,137567,9574,5497,39,120,5,3,3,20,1,61,3,75.68988173455979,0.0461538461538461,1.4216166501322751,0.3278688524590163,0,1,0,0,0,1,0,1,Normal,Marketing,0
EMP00078,29,1,95381,10222,12641,2,74,2,1,5,24,3,64,0,83.04862023653088,0.0,0.9694964526031185,0.375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00079,45,0,98601,10813,9643,33,120,5,5,1,17,2,64,0,96.1892247043364,0.0,1.002226016954321,0.265625,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00080,32,0,55082,5373,10056,18,89,4,3,3,18,0,64,0,12.12220762155059,0.0,0.5598788396251346,0.28125,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00081,38,0,54648,13253,5131,27,100,5,3,2,17,1,62,2,87.71353482260183,0.0307692307692307,0.5630911901081916,0.2741935483870967,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00082,29,0,40364,14916,10443,22,84,3,5,2,22,0,64,0,55.059132720105126,0.0,0.410278302941595,0.34375,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00083,56,1,74568,7565,22241,39,115,5,2,3,20,2,64,0,36.20236530880421,0.0,0.7705853174603174,0.3125,0,1,0,0,0,0,0,1,Normal,Marketing,0
EMP00084,56,1,119646,1900,18443,6,86,4,2,3,27,2,64,0,57.35873850197109,0.0,1.2328284389489954,0.421875,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00085,54,0,111494,2217,13712,11,92,4,4,1,19,1,64,0,75.62417871222075,0.0,1.133276412351853,0.296875,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00086,26,0,114632,4796,13221,13,96,5,2,3,18,1,64,0,40.50591327201051,0.0,1.1651724909028074,0.28125,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00087,49,1,47436,4606,20660,14,79,3,4,4,27,2,64,0,59.92115637319316,0.0,0.4821613709824968,0.421875,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00088,28,1,126713,1283,11147,2,93,4,2,5,28,2,64,0,86.07095926412615,0.0,1.375431474285218,0.4375,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00089,30,1,66754,8775,16588,14,83,3,1,2,23,1,64,0,60.0197109067017,0.0,0.6785184281677543,0.359375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00090,29,0,100194,13271,9604,23,107,5,3,3,21,1,64,0,58.18002628120893,0.0,1.03810767126694,0.328125,0,0,0,0,0,0,0,1,Normal,Finance,0
EMP00091,33,1,64544,8650,14452,7,70,2,2,3,23,4,63,1,74.73718791064388,0.0153846153846153,0.7006056922041551,0.365079365079365,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00092,55,0,100180,14864,22942,4,79,3,4,2,23,1,62,2,49.17871222076215,0.0307692307692307,1.03525958994709,0.3709677419354839,0,1,0,0,0,0,0,1,Normal,Marketing,0
EMP00093,54,0,103295,14193,21399,3,75,2,3,3,17,0,61,3,33.18002628120893,0.0461538461538461,1.1212361331220286,0.2786885245901639,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00094,44,0,52638,14676,8605,13,77,3,5,3,25,1,64,0,25.952693823915897,0.0,0.5423802163833076,0.390625,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00095,45,0,105715,14392,18284,15,99,5,4,1,23,0,64,0,59.42838370565046,0.0,1.1475045047000847,0.359375,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00096,58,0,109409,10457,6607,19,105,5,2,5,23,0,64,0,31.964520367936924,0.0,1.1120835112114005,0.359375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00097,56,0,123106,10858,16709,23,117,5,4,4,21,0,62,2,45.99211563731932,0.0307692307692307,1.2513061332357545,0.3387096774193548,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00098,43,0,57157,815,7016,5,68,2,3,3,23,2,64,0,28.21944809461235,0.0,0.5922023291474988,0.359375,0,0,0,0,0,0,0,1,Normal,Finance,0
EMP00099,48,0,85565,2511,8574,30,106,5,3,3,19,3,64,0,47.79894875164258,0.0,0.92878231986627,0.296875,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00100,56,0,109996,246,18541,5,86,4,4,2,15,5,64,0,42.21419185282523,0.0,1.193973471115646,0.234375,0,0,1,0,0,0,0,-1,Anomaly,Operations,0
EMP00101,22,0,105888,4825,12274,34,120,5,3,3,22,0,64,0,89.19185282522996,0.0,1.076294444105629,0.34375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00102,56,0,96095,6516,14935,14,88,4,3,2,19,2,64,0,71.81340341655716,0.0,0.9767538777418634,0.296875,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00103,58,0,104947,416,20748,28,112,5,3,4,22,1,64,0,91.88567674113008,0.0,1.1391680958687016,0.34375,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00104,35,1,127122,13342,11406,2,87,4,2,2,20,1,64,0,9.494086727989488,0.0,1.29212660852595,0.3125,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00105,24,0,110880,12655,16826,10,91,4,2,2,28,2,64,0,90.34165571616292,0.0,1.203569025030936,0.4375,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00106,22,1,44507,6702,22472,2,51,1,3,3,21,4,64,0,64.65177398160316,0.0,0.4831100883572498,0.328125,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00107,26,1,143134,3717,6361,27,120,5,2,2,22,1,63,1,11.957950065703022,0.0153846153846153,1.4748480164863471,0.3492063492063492,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00108,47,1,83988,107,9473,9,75,2,1,3,19,0,62,2,13.994743758212875,0.0307692307692307,0.8654095826893354,0.3064516129032258,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00109,35,1,138421,10823,12319,32,120,5,1,3,18,3,62,2,43.06833114323258,0.0307692307692307,1.4262854198866564,0.2903225806451613,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00110,48,1,56865,9030,13667,15,82,3,3,4,19,4,63,1,71.15637319316689,0.0153846153846153,0.5780020735500396,0.3015873015873015,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00111,30,0,142591,4513,14481,9,104,5,3,3,17,0,64,0,89.71747700394218,0.0,1.547782384994464,0.265625,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00112,36,0,67213,13931,13520,32,117,5,4,2,28,1,64,0,72.01051248357425,0.0,0.6925605358062854,0.4375,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00113,36,0,95954,13108,22570,35,119,5,3,2,34,2,64,0,56.70170827858081,0.0,1.041551787768925,0.53125,0,0,1,0,0,0,0,-1,Anomaly,Operations,0
EMP00114,47,0,97450,1421,24798,2,75,2,3,3,14,2,64,0,30.97897503285151,0.0,0.9905267223679128,0.21875,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00115,34,1,44477,12970,8536,4,59,1,3,3,28,3,63,1,80.38764783180027,0.0153846153846153,0.4827844473872739,0.4444444444444444,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00116,53,0,102222,7283,6773,11,92,4,3,3,26,0,64,0,43.85676741130092,0.0,1.053292117465224,0.40625,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00117,53,0,46533,12104,15255,12,74,2,3,1,16,2,64,0,52.56241787122208,0.0,0.47298286271879,0.25,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00118,25,0,89395,255,7558,23,102,5,5,2,29,2,64,0,10.775295663600524,0.0,0.9086519891850136,0.453125,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00119,51,0,63396,7248,10079,31,105,5,5,2,21,0,63,1,23.94875164257556,0.0153846153846153,0.6568444610220067,0.3333333333333333,0,0,0,0,0,0,0,1,Normal,Finance,0
EMP00120,58,1,52755,11019,19341,15,75,2,4,2,16,0,63,1,52.66097240473061,0.0153846153846153,0.5465933109536243,0.2539682539682539,0,0,0,0,0,1,0,1,Normal,Finance,0
EMP00121,44,0,40865,9029,24675,31,104,5,5,2,17,2,64,0,15.045992115637318,0.0,0.4435772746021753,0.265625,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00122,36,0,51173,2962,14981,36,112,5,3,3,27,2,64,0,40.21024967148489,0.0,0.5201459616596532,0.421875,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00123,50,0,98905,2282,8524,35,120,5,3,2,24,1,61,3,68.29829172141918,0.0461538461538461,1.0053160130918255,0.3934426229508196,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00124,57,0,78097,8744,24888,20,94,4,4,3,15,1,64,0,22.798948751642573,0.0,0.8186182534774269,0.234375,1,0,0,0,0,0,0,1,Normal,HR,0
EMP00125,34,0,73371,8372,13998,11,78,3,3,3,23,1,63,1,43.29829172141918,0.0153846153846153,0.7560123647604328,0.365079365079365,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00126,53,0,144060,12444,18697,20,113,5,4,2,28,1,63,1,74.50722733245729,0.0153846153846153,1.484389489953632,0.4444444444444444,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00127,28,1,51254,1477,24050,20,88,4,4,3,20,2,63,1,67.70696452036793,0.0153846153846153,0.5563467425048303,0.3174603174603174,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00128,43,1,44018,8762,18606,5,58,1,5,3,18,0,63,1,42.08278580814717,0.0153846153846153,0.4778021405466426,0.2857142857142857,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00129,49,1,45192,4952,18429,8,74,2,3,3,27,3,64,0,32.88436268068331,0.0,0.4905455571716996,0.421875,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00130,23,1,42015,5880,21039,0,50,1,4,4,22,4,64,0,18.068331143232587,0.0,0.4560601784512516,0.34375,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00131,27,0,148154,9919,12140,11,106,5,3,2,27,1,62,2,54.0407358738502,0.0307692307692307,1.526573930963421,0.4354838709677419,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00132,49,0,108916,13335,13785,13,102,5,3,4,25,2,64,0,36.69513797634691,0.0,1.1222668727460072,0.390625,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00133,49,1,68343,5592,19901,5,72,2,3,3,22,1,62,2,9.461235216819974,0.0307692307692307,0.7163761386148992,0.3548387096774194,1,0,0,0,0,1,0,1,Normal,HR,0
EMP00134,41,0,109306,13711,8280,0,77,3,4,3,29,2,62,2,61.4323258869908,0.0307692307692307,1.1864837288062002,0.4677419354838709,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00135,51,0,45829,7091,7212,21,82,3,5,4,24,1,64,0,73.75164257555848,0.0,0.4658270821898315,0.375,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00136,32,1,74381,591,20213,33,108,5,2,4,20,1,64,0,96.35348226018397,0.0,0.7664193714580113,0.3125,0,0,0,1,0,0,1,1,Normal,Sales,0
EMP00137,49,0,121081,6277,13078,10,98,5,3,3,16,2,62,2,40.76872536136662,0.0307692307692307,1.23072309975402,0.2580645161290322,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00138,46,1,58263,12708,20936,2,68,2,3,3,26,1,61,3,88.63337713534823,0.0461538461538461,0.6107168687959246,0.4262295081967213,1,0,0,0,0,1,0,1,Normal,HR,0
EMP00139,54,0,143676,2260,21997,5,93,4,5,3,25,0,64,0,36.4323258869908,0.0,1.5595597334085929,0.390625,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00140,22,1,93260,11139,19274,5,74,2,3,3,23,2,64,0,86.26806833114323,0.0,1.0123092286650892,0.359375,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00141,48,1,83306,14817,5868,19,86,4,2,1,21,2,64,0,26.938239159001316,0.0,0.8467605862861093,0.328125,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00142,34,0,131211,347,22195,20,109,5,3,1,16,3,64,0,28.580814717477004,0.0,1.424255910383605,0.25,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00143,24,1,98418,8357,21042,1,73,2,3,4,22,1,64,0,78.61366622864651,0.0,1.0197065771478304,0.34375,0,0,0,0,0,0,0,1,Normal,Finance,0
EMP00144,27,1,130898,5032,20407,25,120,5,1,1,21,2,62,2,84.46123521681997,0.0307692307692307,1.330507613181273,0.3387096774193548,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00145,29,0,40148,4443,21254,30,101,5,3,2,26,1,63,1,81.99737187910644,0.0153846153846153,0.40808277937021,0.4126984126984127,0,0,0,0,1,1,0,1,Normal,Technology,0
